±

# Run complete. Total time: 00:05:05
REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.
d.c.list.MapAndFlatMap.flatMap2_100                       10000    ss    5  113793,020 ± 25730,774  us/op
d.c.list.MapAndFlatMap.mapElementsToTheirDoubleValue          1    ss    5      14,280 ±    36,535  us/op
d.c.list.MapAndFlatMap.mapElementsToTheirDoubleValue         10    ss    5      35,440 ±    56,669  us/op
d.c.list.MapAndFlatMap.mapElementsToTheirDoubleValue        100    ss    5     184,860 ±   449,680  us/op
d.c.list.MapAndFlatMap.mapElementsToTheirDoubleValue       1000    ss    5     170,460 ±    22,168  us/op
d.c.list.MapAndFlatMap.mapElementsToTheirDoubleValue      10000    ss    5    1146,620 ±   215,642  us/op
d.c.vector.Construct.appendAtEnd                              1    ss    5      33,340 ±    46,480  us/op
d.c.vector.Construct.appendAtEnd                             10    ss    5      48,100 ±    63,748  us/op
d.c.vector.Construct.appendAtEnd                            100    ss    5     234,320 ±   236,685  us/op
d.c.vector.Construct.appendAtEnd                           1000    ss    5     224,680 ±    21,249  us/op
d.c.vector.Construct.appendAtEnd                          10000    ss    5    1841,700 ±   246,784  us/op
d.c.vector.Construct.appendAtStart                            1    ss    5      26,420 ±    44,118  us/op
d.c.vector.Construct.appendAtStart                           10    ss    5      42,460 ±    35,156  us/op
d.c.vector.Construct.appendAtStart                          100    ss    5     286,280 ±   248,108  us/op
d.c.vector.Construct.appendAtStart                         1000    ss    5     222,100 ±    38,146  us/op
d.c.vector.Construct.appendAtStart                        10000    ss    5    2008,520 ±   647,726  us/op
d.c.vector.Construct.appendLists                              1    ss    5      28,780 ±    34,328  us/op
d.c.vector.Construct.appendLists                             10    ss    5      96,220 ±    25,148  us/op
d.c.vector.Construct.appendLists                            100    ss    5     770,920 ±    40,638  us/op
d.c.vector.Construct.appendLists                           1000    ss    5     659,380 ±   161,352  us/op
d.c.vector.Construct.appendLists                          10000    ss    5    3497,220 ±  2527,163  us/op
d.c.vector.Construct.constructFromIterator                    1    ss    5      24,860 ±    38,882  us/op
d.c.vector.Construct.constructFromIterator                   10    ss    5      28,000 ±    33,587  us/op
d.c.vector.Construct.constructFromIterator                  100    ss    5      73,120 ±    40,102  us/op
d.c.vector.Construct.constructFromIterator                 1000    ss    5     149,160 ±    34,519  us/op
d.c.vector.Construct.constructFromIterator                10000    ss    5     772,540 ±   272,987  us/op
d.c.vector.Construct.constructFromIteratorWithKnownSize       1    ss    5      19,280 ±    26,755  us/op
d.c.vector.Construct.constructFromIteratorWithKnownSize      10    ss    5      31,960 ±    38,541  us/op
d.c.vector.Construct.constructFromIteratorWithKnownSize     100    ss    5      62,660 ±    40,834  us/op
d.c.vector.Construct.constructFromIteratorWithKnownSize    1000    ss    5     125,240 ±    54,348  us/op
d.c.vector.Construct.constructFromIteratorWithKnownSize   10000    ss    5     861,360 ±   400,668  us/op
d.c.vector.Consume.consumeFromEnd                             1    ss    5      12,940 ±     5,517  us/op
d.c.vector.Consume.consumeFromEnd                            10    ss    5      40,320 ±    13,544  us/op
d.c.vector.Consume.consumeFromEnd                           100    ss    5     326,260 ±    56,015  us/op
d.c.vector.Consume.consumeFromEnd                          1000    ss    5     402,160 ±   152,375  us/op
d.c.vector.Consume.consumeFromEnd                         10000    ss    5    2608,200 ±  2535,653  us/op
d.c.vector.Consume.consumeFromStart                           1    ss    5      13,460 ±    23,363  us/op
d.c.vector.Consume.consumeFromStart                          10    ss    5      45,320 ±    38,593  us/op
d.c.vector.Consume.consumeFromStart                         100    ss    5     341,800 ±    86,955  us/op
d.c.vector.Consume.consumeFromStart                        1000    ss    5     401,920 ±    79,768  us/op
d.c.vector.Consume.consumeFromStart                       10000    ss    5    2741,020 ±  2595,122  us/op
d.c.vector.Consume.getAllByIterator                           1    ss    5       4,020 ±     3,874  us/op
d.c.vector.Consume.getAllByIterator                          10    ss    5       4,700 ±     1,634  us/op
d.c.vector.Consume.getAllByIterator                         100    ss    5      21,380 ±    12,356  us/op
d.c.vector.Consume.getAllByIterator                        1000    ss    5     110,460 ±    53,153  us/op
d.c.vector.Consume.getAllByIterator                       10000    ss    5     746,140 ±   142,732  us/op
d.c.vector.Consume.getAllRandomly                             1    ss    5       8,000 ±     9,381  us/op
d.c.vector.Consume.getAllRandomly                            10    ss    5       9,940 ±     3,352  us/op
d.c.vector.Consume.getAllRandomly                           100    ss    5      98,600 ±   157,149  us/op
d.c.vector.Consume.getAllRandomly                          1000    ss    5     123,000 ±    40,336  us/op
d.c.vector.Consume.getAllRandomly                         10000    ss    5     773,860 ±   310,616  us/op
d.c.vector.Consume.getFirst                                   1    ss    5       1,700 ±     0,472  us/op
d.c.vector.Consume.getFirst                                  10    ss    5       1,860 ±     0,700  us/op
d.c.vector.Consume.getFirst                                 100    ss    5       1,700 ±     1,361  us/op
d.c.vector.Consume.getFirst                                1000    ss    5       1,620 ±     0,741  us/op
d.c.vector.Consume.getFirst                               10000    ss    5       1,620 ±     0,172  us/op
d.c.vector.Consume.getLast                                    1    ss    5       2,880 ±     7,660  us/op
d.c.vector.Consume.getLast                                   10    ss    5       2,380 ±     1,399  us/op
d.c.vector.Consume.getLast                                  100    ss    5       2,440 ±     2,320  us/op
