# Run complete. Total time: 11:20:46

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.
d.c.fpl.CopyOfVsNewAndArraycopy.withNewAndArrayCopy          1  avgt   15      0,006 ±   0,001  us/op
d.c.fpl.CopyOfVsNewAndArraycopy.withNewAndArrayCopy         10  avgt   15      0,006 ±   0,001  us/op
d.c.fpl.CopyOfVsNewAndArraycopy.withNewAndArrayCopy        100  avgt   15      0,029 ±   0,001  us/op
d.c.fpl.CopyOfVsNewAndArraycopy.withNewAndArrayCopy       1000  avgt   15      0,294 ±   0,001  us/op
d.c.fpl.CopyOfVsNewAndArraycopy.withNewAndArrayCopy      10000  avgt   15      3,047 ±   0,014  us/op

d.c.fpl.MapAndFlatMap.flatMap                                1  avgt   15      0,050 ±   0,001  us/op
d.c.fpl.MapAndFlatMap.flatMap                               10  avgt   15      0,405 ±   0,005  us/op
d.c.fpl.MapAndFlatMap.flatMap                              100  avgt   15      3,684 ±   0,038  us/op
d.c.fpl.MapAndFlatMap.flatMap                             1000  avgt   15     35,826 ±   0,665  us/op
d.c.fpl.MapAndFlatMap.flatMap                            10000  avgt   15    359,742 ±   4,469  us/op

d.c.fpl.MapAndFlatMap.flatMap100                             1  avgt   15      0,407 ±   0,016  us/op
d.c.fpl.MapAndFlatMap.flatMap100                            10  avgt   15      3,938 ±   0,164  us/op
d.c.fpl.MapAndFlatMap.flatMap100                           100  avgt   15     38,907 ±   0,321  us/op
d.c.fpl.MapAndFlatMap.flatMap100                          1000  avgt   15    353,778 ±   5,127  us/op
d.c.fpl.MapAndFlatMap.flatMap100                         10000  avgt   15   3464,187 ±  32,609  us/op

d.c.fpl.MapAndFlatMap.mapElementsToTheirDoubleValue          1  avgt   15      0,018 ±   0,001  us/op
d.c.fpl.MapAndFlatMap.mapElementsToTheirDoubleValue         10  avgt   15      0,055 ±   0,002  us/op
d.c.fpl.MapAndFlatMap.mapElementsToTheirDoubleValue        100  avgt   15      0,412 ±   0,012  us/op
d.c.fpl.MapAndFlatMap.mapElementsToTheirDoubleValue       1000  avgt   15      3,752 ±   0,039  us/op
d.c.fpl.MapAndFlatMap.mapElementsToTheirDoubleValue      10000  avgt   15     39,093 ±   0,488  us/op

d.c.fpl.Set.set10PercentRandom                               1  avgt   15      0,001 ±   0,001  us/op
d.c.fpl.Set.set10PercentRandom                              10  avgt   15      0,030 ±   0,001  us/op
d.c.fpl.Set.set10PercentRandom                             100  avgt   15      0,608 ±   0,014  us/op
d.c.fpl.Set.set10PercentRandom                            1000  avgt   15     26,171 ±   0,262  us/op
