"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: size"
"de.codecentric.fpl.Consume.recursiveSplit","avgt",1,15,"0,291416","0,005812","us/op",10
"de.codecentric.fpl.Consume.recursiveSplit","avgt",1,15,"3,366887","0,069725","us/op",100
"de.codecentric.fpl.Consume.recursiveSplit","avgt",1,15,"37,660368","1,047617","us/op",1000
"de.codecentric.fpl.Consume.recursiveSplit","avgt",1,15,"392,372104","3,099111","us/op",10000
"de.codecentric.fpl.CopyOfVsNewAndArraycopy.withCopyOf","avgt",1,15,"0,006087","0,000073","us/op",1
"de.codecentric.fpl.CopyOfVsNewAndArraycopy.withCopyOf","avgt",1,15,"0,006642","0,000059","us/op",10
"de.codecentric.fpl.CopyOfVsNewAndArraycopy.withCopyOf","avgt",1,15,"0,028863","0,000089","us/op",100
"de.codecentric.fpl.CopyOfVsNewAndArraycopy.withCopyOf","avgt",1,15,"0,294649","0,000803","us/op",1000
"de.codecentric.fpl.CopyOfVsNewAndArraycopy.withCopyOf","avgt",1,15,"3,058103","0,005725","us/op",10000
"de.codecentric.fpl.CopyOfVsNewAndArraycopy.withNewAndArrayCopy","avgt",1,15,"0,005811","0,000076","us/op",1
"de.codecentric.fpl.CopyOfVsNewAndArraycopy.withNewAndArrayCopy","avgt",1,15,"0,006340","0,000037","us/op",10
"de.codecentric.fpl.CopyOfVsNewAndArraycopy.withNewAndArrayCopy","avgt",1,15,"0,028994","0,000081","us/op",100
"de.codecentric.fpl.CopyOfVsNewAndArraycopy.withNewAndArrayCopy","avgt",1,15,"0,294470","0,000475","us/op",1000
"de.codecentric.fpl.CopyOfVsNewAndArraycopy.withNewAndArrayCopy","avgt",1,15,"3,047302","0,013819","us/op",10000
"de.codecentric.fpl.MapAndFlatMap.flatMap","avgt",1,15,"0,049729","0,000361","us/op",1
"de.codecentric.fpl.MapAndFlatMap.flatMap","avgt",1,15,"0,404697","0,004783","us/op",10
"de.codecentric.fpl.MapAndFlatMap.flatMap","avgt",1,15,"3,684221","0,038365","us/op",100
"de.codecentric.fpl.MapAndFlatMap.flatMap","avgt",1,15,"35,825643","0,664910","us/op",1000
"de.codecentric.fpl.MapAndFlatMap.flatMap","avgt",1,15,"359,742388","4,468696","us/op",10000
"de.codecentric.fpl.MapAndFlatMap.flatMap100","avgt",1,15,"0,407009","0,015978","us/op",1
"de.codecentric.fpl.MapAndFlatMap.flatMap100","avgt",1,15,"3,938146","0,164077","us/op",10
"de.codecentric.fpl.MapAndFlatMap.flatMap100","avgt",1,15,"38,906515","0,321235","us/op",100
"de.codecentric.fpl.MapAndFlatMap.flatMap100","avgt",1,15,"353,777676","5,127108","us/op",1000
"de.codecentric.fpl.MapAndFlatMap.flatMap100","avgt",1,15,"3464,187128","32,608558","us/op",10000
"de.codecentric.fpl.MapAndFlatMap.mapElementsToTheirDoubleValue","avgt",1,15,"0,017765","0,000246","us/op",1
"de.codecentric.fpl.MapAndFlatMap.mapElementsToTheirDoubleValue","avgt",1,15,"0,055194","0,001809","us/op",10
"de.codecentric.fpl.MapAndFlatMap.mapElementsToTheirDoubleValue","avgt",1,15,"0,411711","0,011867","us/op",100
"de.codecentric.fpl.MapAndFlatMap.mapElementsToTheirDoubleValue","avgt",1,15,"3,752135","0,038668","us/op",1000
"de.codecentric.fpl.MapAndFlatMap.mapElementsToTheirDoubleValue","avgt",1,15,"39,092934","0,487678","us/op",10000
"de.codecentric.fpl.Set.set10PercentRandom","avgt",1,15,"0,000638","0,000004","us/op",1
"de.codecentric.fpl.Set.set10PercentRandom","avgt",1,15,"0,030368","0,000418","us/op",10
"de.codecentric.fpl.Set.set10PercentRandom","avgt",1,15,"0,608222","0,014180","us/op",100
"de.codecentric.fpl.Set.set10PercentRandom","avgt",1,15,"26,171016","0,261878","us/op",1000
"de.codecentric.fpl.Set.set10PercentRandom","avgt",1,15,"1406,224574","22,205739","us/op",10000
